,duration_sec
0,488
1,580
2,965
3,473
4,417
5,696
6,535
7,1103
8,564
9,1083
10,483
11,545
12,807
13,756
14,764
15,596
16,885
17,1257
18,371
19,518
20,454
21,477
22,564
23,442
24,1194
25,557
26,420
27,504
28,853
29,682
30,517
35,1303
36,1324
37,446
40,728
41,71
44,171
45,264
46,192
47,215
48,211
49,226
50,216
51,238
52,267
53,218
54,199
55,291
56,193
57,240
58,212
59,169
60,234
61,474
62,233
63,199
64,347
65,187
66,219
67,583
68,201
69,219
70,234
71,191
72,184
73,215
74,216
75,233
76,197
77,190
78,195
79,211
80,294
81,205
82,183
83,625
84,245
85,262
86,253
87,259
88,187
89,386
90,210
91,218
92,198
93,186
94,206
95,304
96,414
97,339
98,331
99,344
100,253
101,384
102,746
103,291
104,483
105,345
106,326
107,404
108,305
109,361
110,684
111,590
113,358
114,194
115,301
116,239
117,665
118,338
119,297
120,253
121,368
122,403
123,322
124,275
125,277
126,327
127,192
128,304
129,303
130,391
131,307
132,354
133,271
134,391
135,255
136,329
137,467
138,269
139,280
140,317
141,330
142,290
143,404
144,398
145,359
146,292
147,256
148,285
149,355
150,400
151,293
152,266
153,397
154,281
155,525
156,214
158,309
159,305
160,336
161,324
162,265
163,355
164,312
165,245
166,306
167,436
168,384
169,366
170,665
171,289
172,392
173,291
174,260
175,301
176,451
177,257
178,337
179,334
180,340
181,205
182,269
183,324
184,391
185,224
186,317
187,403
188,703
190,618
191,1092
192,587
193,928
194,642
195,562
196,409
197,1053
198,556
199,503
201,538
202,424
203,644
204,750
205,861
207,528
208,770
209,521
210,336
211,583
212,1182
213,447
214,855
215,279
216,298
217,324
218,1024
219,732
220,1209
222,687
223,591
224,685
225,798
226,982
227,146
228,322
229,253
230,106
232,483
233,669
234,987
235,896
236,726
237,664
238,680
239,583
240,718
242,688
243,597
244,842
245,217
246,134
247,199
248,1028
249,965
250,758
251,923
252,301
253,411
255,339
256,508
257,514
258,493
259,459
260,822
261,1356
262,1396
263,296
264,465
265,873
266,157
267,145
268,233
269,121
270,144
271,132
272,230
273,264
274,501
275,301
276,626
277,529
278,495
279,922
280,651
281,739
282,692
283,693
284,772
285,722
286,388
287,350
288,342
290,402
291,432
292,514
293,455
294,971
295,893
296,1036
297,959
298,575
299,988
300,821
301,561
302,886
303,1154
304,712
305,926
306,781
307,913
308,713
309,632
310,796
311,1038
312,378
314,693
315,660
316,798
317,573
318,666
319,793
320,493
321,531
322,488
323,522
324,759
325,550
326,496
327,390
328,426
329,361
330,371
331,621
332,273
333,366
334,1305
335,932
336,1010
337,609
340,81
341,157
342,240
343,918
344,1043
345,983
346,986
347,962
349,1026
350,992
351,953
352,1032
353,497
354,550
355,545
356,596
357,528
358,374
359,741
360,542
361,599
362,538
363,586
364,1077
365,450
366,577
367,440
368,515
369,1178
370,1091
371,811
372,1083
373,167
374,248
375,225
376,179
377,161
378,165
379,253
380,263
381,306
382,675
383,602
384,894
385,1159
386,560
387,547
389,651
390,1002
391,703
392,578
393,582
394,267
395,188
396,304
397,404
398,387
399,166
400,200
401,198
402,560
403,502
404,496
405,385
406,632
407,464
408,627
409,552
410,571
411,519
412,224
413,729
414,626
415,559
416,451
417,235
418,204
419,244
420,309
421,259
422,327
423,418
424,348
425,312
426,262
428,925
429,894
430,936
431,1015
432,867
433,1149
434,946
435,839
436,910
437,1204
438,1035
439,412
440,418
441,1220
442,621
443,818
444,569
445,233
446,271
447,324
448,161
449,239
450,185
451,361
452,481
453,230
454,270
455,243
456,887
457,361
458,267
459,193
460,631
461,234
462,242
463,272
464,320
466,213
467,1357
468,591
469,454
470,251
472,344
473,560
474,247
475,496
476,227
477,306
479,888
480,1142
481,486
482,764
483,565
484,1124
485,523
486,650
487,488
488,872
489,793
491,307
492,1230
493,659
494,617
495,623
496,735
497,634
498,1042
499,721
500,1143
501,905
502,698
503,613
504,1128
505,733
507,1076
508,462
509,917
510,1102
511,726
512,342
513,466
514,472
515,341
516,886
517,852
518,1231
519,525
520,260
521,220
522,219
523,295
524,189
525,261
526,292
527,272
528,303
529,333
530,221
531,251
532,289
533,336
534,213
535,461
536,445
537,618
538,445
539,503
540,560
541,522
542,935
543,597
544,463
545,412
546,510
547,343
548,440
549,347
550,688
551,370
552,484
553,398
554,508
555,655
556,532
557,497
558,582
559,411
560,894
561,666
562,434
563,595
564,359
565,1017
566,1281
567,1226
568,1379
569,531
570,404
571,373
572,362
573,456
574,455
575,336
576,527
577,350
578,556
579,448
580,575
581,370
582,377
583,880
584,902
585,1003
586,1129
587,834
588,1394
589,1054
590,1118
591,974
592,903
593,535
594,417
595,488
596,441
597,462
598,569
599,265
600,309
601,263
602,322
603,246
604,1160
605,846
606,346
607,349
608,936
609,344
610,799
611,441
612,480
613,548
614,608
615,577
616,514
617,983
618,272
619,501
621,1215
622,731
623,878
624,792
625,511
626,652
627,217
628,94
629,250
630,183
631,224
632,261
633,145
634,211
635,230
636,115
637,249
638,162
639,103
640,606
641,760
642,339
643,600
644,283
645,376
646,561
647,247
648,327
649,382
650,878
651,437
652,367
653,385
654,334
655,670
656,342
657,676
658,564
659,726
660,698
661,344
662,387
663,444
664,447
665,505
666,841
667,482
668,633
669,594
670,502
671,697
672,1358
673,675
675,880
676,587
677,849
679,480
680,453
681,468
682,414
683,447
684,372
685,427
686,484
687,474
688,337
690,500
691,458
692,508
693,380
694,385
695,379
696,598
697,178
698,456
699,170
700,854
701,630
704,770
705,687
706,714
707,903
708,678
709,731
710,627
711,806
712,323
713,369
714,368
715,990
716,1119
717,1174
718,946
719,388
720,522
721,401
722,554
723,516
724,396
725,955
726,838
727,948
728,858
729,939
730,952
731,979
732,1173
734,1198
735,564
736,372
737,392
738,454
739,982
740,428
741,280
742,352
743,459
744,471
745,896
746,649
747,199
748,416
749,340
750,470
751,417
752,438
753,353
754,693
756,384
757,1423
758,617
759,383
760,502
761,344
762,304
763,619
764,330
765,376
766,300
767,374
768,311
769,426
770,316
771,359
772,554
773,337
774,341
775,342
776,403
777,562
778,582
779,601
780,553
781,1149
782,683
783,660
784,622
785,747
786,200
787,174
788,140
789,200
790,195
791,170
792,218
793,163
794,177
795,186
796,194
797,848
798,715
799,875
800,717
801,839
802,806
803,719
804,809
805,796
807,888
808,740
809,754
810,673
811,544
812,640
813,715
814,773
815,689
816,758
817,420
818,369
819,167
820,239
821,155
822,178
823,1313
824,465
825,567
826,755
827,230
828,222
829,941
830,738
831,634
832,719
833,594
834,663
835,489
836,999
837,820
838,754
839,878
840,416
841,535
842,705
843,607
844,932
845,679
846,586
847,833
848,608
849,1128
850,1147
851,729
852,835
853,550
854,639
855,543
856,512
857,513
858,505
859,1140
860,104
861,442
862,617
863,600
864,685
865,621
866,802
867,659
868,611
869,594
870,870
871,745
872,790
873,578
874,725
875,806
876,590
877,720
878,494
879,547
880,714
881,641
882,600
883,617
884,545
885,544
886,568
887,739
888,929
889,703
890,597
891,743
892,567
893,645
894,656
895,657
896,658
897,572
898,638
899,778
900,632
901,583
902,757
903,292
904,371
905,251
907,1364
908,1006
909,301
910,338
911,212
912,472
913,799
914,526
915,675
916,682
917,690
918,662
919,935
920,1018
921,765
923,1219
924,1245
927,823
928,1394
929,550
930,456
931,519
932,550
933,581
934,531
935,601
936,524
937,741
938,575
939,448
940,529
941,641
942,670
943,590
944,623
945,589
946,897
947,480
948,395
949,384
950,383
951,394
952,339
953,364
954,379
955,611
956,395
957,389
958,1139
959,817
960,739
961,777
962,755
963,588
964,359
965,341
966,377
967,341
968,381
969,358
970,609
971,550
972,798
973,335
974,365
975,466
976,648
977,598
978,549
979,544
980,711
981,203
982,210
983,227
984,252
985,277
986,226
987,321
988,185
989,272
991,209
992,145
993,217
994,210
995,209
996,248
997,243
998,248
999,212
1000,245
1001,229
1005,819
1008,1115
1009,974
1010,528
1011,455
1012,220
1013,286
1015,808
1016,754
1017,692
1018,953
1019,777
1020,759
1022,1122
1024,1125
1025,1021
1027,1305
1031,385
1032,414
1033,735
1034,976
1035,614
1036,511
1037,890
1038,663
1039,616
1040,542
1041,537
1042,646
1043,493
1044,570
1045,532
1046,472
1047,538
1048,516
1049,378
1050,448
1051,633
1052,473
1053,492
1054,575
1055,457
1057,790
1058,592
1059,1005
1060,963
1061,374
1062,278
1063,281
1064,288
1065,384
1066,317
1067,198
1068,295
1069,281
1070,397
1071,310
1072,297
1073,242
1074,274
1075,284
1076,484
1077,289
1078,358
1079,314
1080,317
1081,276
1082,298
1083,318
1084,352
1085,328
1086,292
1087,678
1088,244
1089,672
1090,253
1091,315
1092,360
1093,274
1094,309
1095,261
1096,679
1097,657
1098,574
1099,684
1100,663
1102,500
1103,457
1104,555
1105,1015
1106,674
1107,690
1108,680
1109,514
1111,237
1112,172
1113,320
1114,308
1115,232
1116,415
1119,324
1120,582
1121,280
1122,594
1123,1195
1124,842
1125,626
1126,993
1127,768
1128,490
1129,901
1130,446
1131,361
1132,463
1133,623
1134,383
1135,317
1136,568
1137,323
1138,418
1139,515
1140,387
1141,451
1142,322
1143,429
1144,683
1145,451
1146,364
1147,381
1148,477
1149,389
1150,787
1151,402
1152,278
1153,736
1154,964
1155,669
1157,861
1158,732
1159,768
1160,555
1161,768
1162,455
1163,523
1164,550
1165,518
1166,576
1167,429
1168,442
1169,455
1170,1434
1171,970
1172,755
1173,986
1174,1148
1175,73
1176,895
1177,620
1178,1378
1179,655
1180,679
1181,565
1182,385
1183,464
1184,312
1185,371
1186,769
1187,259
1188,325
1190,1183
1191,243
1192,1306
1193,184
1194,157
1195,624
1196,673
1197,464
1198,1166
1199,340
1200,200
1201,142
1202,833
1203,1170
1204,346
1205,667
1207,545
1208,369
1209,359
1210,507
1211,440
1212,408
1213,370
1214,421
1215,411
1216,368
1217,377
1218,746
1219,563
1221,610
1226,636
1227,563
1228,743
1230,471
1231,444
1232,1022
1233,765
1236,618
1237,998
1241,1285
1242,1220
1243,630
1244,419
1245,399
1246,443
1247,769
1248,637
1249,783
1250,588
1251,1111
1252,894
1253,805
1254,1118
1255,699
1256,1183
1257,757
1258,604
1259,564
1260,432
1261,590
1262,427
1263,408
1265,696
1266,662
1267,517
1268,618
1269,701
1270,863
1272,618
1273,319
1274,151
1275,162
1276,195
1277,173
1278,314
1279,549
1280,262
1281,269
1282,244
1283,157
1284,176
1285,166
1286,164
1287,239
1288,226
1289,247
1290,675
1291,142
1292,226
1293,270
1294,320
1295,192
1296,181
1297,285
1298,175
1299,153
1300,190
1301,149
1302,1311
1303,176
1305,209
1306,223
1307,271
1308,181
1309,200
1310,174
1311,319
1312,253
1313,172
1314,241
1315,244
1317,382
1318,516
1319,202
1320,172
1321,193
1322,178
1323,205
1324,170
1325,303
1326,421
1327,494
1328,501
1329,287
1330,100
1332,964
1333,625
1334,79
1335,187
1336,524
1337,334
1339,277
1340,166
1341,257
1342,520
1343,333
1344,571
1345,510
1346,393
1347,636
1348,918
1349,282
1350,327
1351,213
1352,214
1353,291
1354,656
1355,469
1356,733
1357,841
1358,548
1359,582
1360,438
1362,549
1363,658
1364,561
1365,519
1366,543
1367,601
1368,624
1369,597
1370,598
1371,653
1372,995
1373,860
1376,963
1377,812
1378,995
1379,873
1380,858
1381,969
1382,882
1383,1169
1384,921
1385,1006
1386,1184
1387,616
1388,639
1389,1055
1390,689
1391,684
1392,776
1393,546
1394,650
1395,749
1396,956
1397,548
1398,545
1399,655
1400,514
1401,468
1402,1100
1403,902
1404,1258
1406,1004
1407,624
1408,344
1409,552
1410,651
1411,693
1412,776
1413,671
1414,240
1415,333
1416,913
1417,270
1418,385
1419,361
1420,248
1421,526
1422,656
1423,1264
1424,1244
1426,1404
1427,1250
1428,1129
1429,1182
1430,655
1431,905
1433,1305
1435,489
1436,476
1437,404
1438,488
1439,561
1440,529
1441,174
1442,307
1443,262
1444,500
1445,286
1446,534
1447,539
1449,631
1450,676
1451,1383
1452,804
1453,760
